date,max_temp,min_temp,avg_temp
2026-05-23,41.7,30.4,36.05
2026-05-24,42.6,31.2,36.9
2026-05-25,42.8,30.8,36.8
2026-05-26,42.8,31.6,37.2
2026-05-27,43.4,31.6,37.5
2026-05-28,44.2,31.6,37.900000000000006
2026-05-29,42.3,25.5,33.9
2026-05-30,39.2,24.6,31.900000000000002
